,ID,Name,Address,IsNetObject,TypeObject,is_actual
3337,284164,ПИВОМАНИЯ КРАФТ БАР,"город Москва, Соколово-Мещерская улица, дом 29",нет,бар,True
4359,284132,Караоке клуб Лорэм,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, улица Миклухо-Маклая, дом 18, корпус 1",нет,бар,True
3931,284017,Flex bar club,"город Москва, улица Миклухо-Маклая, дом 11",нет,бар,True
6750,283964,The Nest,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, улица Сретенка, дом 4",,бар,True
9759,283690,Бар Зара Тайм,"город Москва, Автозаводская улица, дом 17, строение 2",нет,бар,True
8454,283536,ForteПьяно,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Большой Путинковский переулок, дом 5",,бар,True
6486,283532,BELLIS BAR,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Тверская улица, дом 18, корпус 1",,бар,True
9576,283094,BALAGAN,"город Москва, Столярный переулок, дом 3, корпус 16",нет,бар,True
686,280940,Бар Зебра,"город Москва, 3-й Нижнелихоборский проезд, дом 1, строение 16",нет,бар,True
8575,280304,King Palace,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Средняя Первомайская улица, дом 3",нет,бар,True
7214,280138,Крылья,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Рыбалко, дом 2, корпус 9, помещение 710Н/7",,бар,True
9923,278427,Family Resto Bar,"город Москва, улица Правды, дом 24, строение 8",нет,бар,True
1760,278363,МакЛаренс Паб,"Краснобогатырская улица, дом 90, строение 2",нет,бар,True
8848,278063,Живое пиво,"город Москва, Заревый проезд, дом 2",,бар,True
7339,271856,Hard Smoke Cafe,"город Москва, город Московский, 3-й микрорайон, дом 2",,бар,True
1188,270149,Свои,"город Москва, Митинская улица, дом 28, корпус 5",,бар,True
5122,269205,Бали-Лаунж,"город Москва, улица Ляпидевского, дом 22",,бар,True
2514,268318,Честерфилд,"город Москва, улица Новый Арбат, дом 19",,бар,True
